id,collection,dc.identifier.vol[en],dc.identifier.iss[en]
+,2164/329,,3
+,2164/329,,4
+,2164/329,,2
+,2164/329,,3
+,2164/329,,3
+,2164/329,,3
+,2164/329,,3
+,2164/329,,
+,2164/329,9,3
+,2164/329,38,4
+,2164/329,29,2
+,2164/329,19,6
+,2164/329,27,2
+,2164/329,,
+,2164/329,35,5
+,2164/329,2,
+,2164/329,,
+,2164/329,43,5
+,2164/329,46,
+,2164/329,37,1
+,2164/329,19,3
+,2164/329,,
+,2164/329,,
+,2164/329,,
+,2164/329,61,
+,2164/329,48,2
+,2164/329,50,
+,2164/329,15,1
+,2164/329,32,
+,2164/329,,
+,2164/329,,
+,2164/329,,
+,2164/329,151,2
+,2164/329,152,
+,2164/329,40,2
+,2164/329,28,2
+,2164/329,36,3
+,2164/329,32,1
+,2164/329,141,
+,2164/329,47,2
+,2164/329,,
+,2164/329,41,3
+,2164/329,47,2
+,2164/329,23,6
+,2164/329,138,
+,2164/329,33,3
+,2164/329,12,1
+,2164/329,10,2
+,2164/329,16,3